Date,Category,Value
2003-12-01,allocated_assigned,4038048
2004-02-01,allocated_assigned,4303520
2004-03-01,allocated_assigned,4311456
2004-04-01,allocated_assigned,4465056
2004-06-01,allocated_assigned,4993952
2004-07-01,allocated_assigned,4998560
2004-08-01,allocated_assigned,4999072
2004-09-01,allocated_assigned,5007776
2004-10-01,allocated_assigned,5018784
2004-11-01,allocated_assigned,5024928
2004-12-01,allocated_assigned,5029024
2005-01-01,allocated_assigned,5054368
2005-02-01,allocated_assigned,5057440
2005-03-01,allocated_assigned,5357728
2005-04-01,allocated_assigned,5374624
2005-05-01,allocated_assigned,5562272
2005-06-01,allocated_assigned,5611936
2005-07-01,allocated_assigned,5638816
2005-08-01,allocated_assigned,5656992
2005-09-01,allocated_assigned,5671072
2005-10-01,allocated_assigned,5763744
2005-11-01,allocated_assigned,5765024
2005-12-01,allocated_assigned,5777824
2006-01-01,allocated_assigned,5787552
2006-02-01,allocated_assigned,5814688
2006-03-01,allocated_assigned,5830304
2006-04-01,allocated_assigned,5843360
2006-05-01,allocated_assigned,5854880
2006-06-01,allocated_assigned,5869728
2006-08-01,allocated_assigned,5916064
2006-09-01,allocated_assigned,5916832
2006-10-01,allocated_assigned,6181536
2006-11-01,allocated_assigned,6526944
2006-12-01,allocated_assigned,6186208
2007-01-01,allocated_assigned,6187232
2007-02-01,allocated_assigned,6467040
2007-03-01,allocated_assigned,6474208
2007-04-01,allocated_assigned,6483424
2007-05-01,allocated_assigned,6510304
2007-06-01,allocated_assigned,6545632
2007-07-01,allocated_assigned,6620128
2007-08-01,allocated_assigned,6612704
2007-09-01,allocated_assigned,6628064
2007-10-01,allocated_assigned,6564064
2007-11-01,allocated_assigned,6694624
2007-12-01,allocated_assigned,6704864
2008-01-01,allocated_assigned,6689760
2008-02-01,allocated_assigned,6711008
2008-03-01,allocated_assigned,6852320
2008-04-01,allocated_assigned,6852320
2008-05-01,allocated_assigned,6920416
2008-06-01,allocated_assigned,6905312
2008-07-01,allocated_assigned,6916320
2008-08-01,allocated_assigned,6937056
2008-09-01,allocated_assigned,6939872
2008-10-01,allocated_assigned,6946528
2008-11-01,allocated_assigned,6950624
2008-12-01,allocated_assigned,6961376
2009-01-01,allocated_assigned,6952416
2009-02-01,allocated_assigned,6954720
2009-04-01,allocated_assigned,7288032
2009-05-01,allocated_assigned,7291616
2009-06-01,allocated_assigned,7364064
2009-07-01,allocated_assigned,7399392
2009-08-01,allocated_assigned,7386336
2009-09-01,allocated_assigned,7416800
2009-10-01,allocated_assigned,7433952
2009-11-01,allocated_assigned,7444704
2010-01-01,allocated_assigned,7466720
2010-02-01,allocated_assigned,7733216
2010-03-01,allocated_assigned,8018400
2010-04-01,allocated_assigned,8024288
2010-05-01,allocated_assigned,8034784
2010-06-01,allocated_assigned,8166624
2010-07-01,allocated_assigned,8169440
2010-08-01,allocated_assigned,8304864
2010-09-01,allocated_assigned,8312288
2010-10-01,allocated_assigned,8310752
2010-11-01,allocated_assigned,8346336
2010-12-01,allocated_assigned,8347360
2011-01-01,allocated_assigned,8479712
2011-02-01,allocated_assigned,8544480
2011-03-01,allocated_assigned,8547808
2011-04-01,allocated_assigned,8548576
2011-05-01,allocated_assigned,8620000
2011-06-01,allocated_assigned,8621280
2011-07-01,allocated_assigned,8695264
2011-08-01,allocated_assigned,8701920
2011-09-01,allocated_assigned,8708320
2011-10-01,allocated_assigned,8709600
2011-11-01,allocated_assigned,8721888
2011-12-01,allocated_assigned,8724960
2012-01-01,allocated_assigned,8725472
2012-02-01,allocated_assigned,8738272
2012-03-01,allocated_assigned,8741344
2012-04-01,allocated_assigned,9007328
2012-05-01,allocated_assigned,9017056
