Date,allocated_assigned,routed
2003-12-01,4038048,2440448
2004-02-01,4303520,2593024
2004-03-01,4311456,2619136
2004-04-01,4465056,2762240
2004-06-01,4993952,2819328
2004-07-01,4998560,2827008
2004-08-01,4999072,2798848
2004-09-01,5007776,2807552
2004-10-01,5018784,2858240
2004-11-01,5024928,2897664
2004-12-01,5029024,2903040
2005-01-01,5054368,2908928
2005-02-01,5057440,2961152
2005-03-01,5357728,3142144
2005-04-01,5374624,3171840
2005-05-01,5562272,3279872
2005-06-01,5611936,3323136
2005-07-01,5638816,3298048
2005-08-01,5656992,3309312
2005-09-01,5671072,3303936
2005-10-01,5763744,3470592
2005-11-01,5765024,3494656
2005-12-01,5777824,3494656
2006-01-01,5787552,3544576
2006-02-01,5814688,3538432
2006-03-01,5830304,3520768
2006-04-01,5843360,3535104
2006-05-01,5854880,3621632
2006-06-01,5869728,3625216
2006-08-01,5916064,3686656
2006-09-01,5916832,3639296
2006-10-01,6181536,3905792
2006-11-01,6526944,3919104
2006-12-01,6186208,3924224
2007-01-01,6187232,4003328
2007-02-01,6467040,4338432
2007-03-01,6474208,4347904
2007-04-01,6483424,4340480
2007-05-01,6510304,4346624
2007-06-01,6545632,4349440
2007-07-01,6620128,4384768
2007-08-01,6612704,4397824
2007-09-01,6628064,4457984
2007-10-01,6564064,4480000
2007-11-01,6694624,4484864
2007-12-01,6704864,4441600
2008-01-01,6689760,4458752
2008-02-01,6711008,4517120
2008-03-01,6852320,4601088
2008-04-01,6852320,4596480
2008-05-01,6920416,4588032
2008-06-01,6905312,4643584
2008-07-01,6916320,4647424
2008-08-01,6937056,5081856
2008-09-01,6939872,5118720
2008-10-01,6946528,5253632
2008-11-01,6950624,5265152
2008-12-01,6961376,4855552
2009-01-01,6952416,4857600
2009-02-01,6954720,4898048
2009-04-01,7288032,5174272
2009-05-01,7291616,5183744
2009-06-01,7364064,5232640
2009-07-01,7399392,5276928
2009-08-01,7386336,5363712
2009-09-01,7416800,5371392
2009-10-01,7433952,5385728
2009-11-01,7444704,5402112
2010-01-01,7466720,5404416
2010-02-01,7733216,5429504
2010-03-01,8018400,5431552
2010-04-01,8024288,5980160
2010-05-01,8034784,5986560
2010-06-01,8166624,6051328
2010-07-01,8169440,6059776
2010-08-01,8304864,6439936
2010-09-01,8312288,6576384
2010-10-01,8310752,6576896
2010-11-01,8346336,6335488
2010-12-01,8347360,5667584
2011-01-01,8479712,5667840
2011-02-01,8544480,5696768
2011-03-01,8547808,5675264
2011-04-01,8548576,5804800
2011-05-01,8620000,5808640
2011-06-01,8621280,5681920
2011-07-01,8695264,5767424
2011-08-01,8701920,5769472
2011-09-01,8708320,5774592
2011-10-01,8709600,5786880
2011-11-01,8721888,6434048
2011-12-01,8724960,6437120
2012-01-01,8725472,6517504
2012-02-01,8738272,6520576
2012-03-01,8741344,6562048
2012-04-01,9007328,7057152
2012-05-01,9017056,7068928
2012-06-01,11627744,7283968
2012-07-01,11628000,7294464
2012-08-01,11634016,7302656
2012-09-01,11657312,7315968
2012-10-01,11667552,7314432
2012-11-01,11669088,7315456
2012-12-01,11672160,7323648
2013-01-01,11675232,7327488
2013-02-01,11681376,8525312
2013-03-01,11682912,8515072
2013-04-01,11685472,8414976
2013-05-01,11617888,8589312
2013-06-01,11620704,8404480
2013-07-01,11605088,8411904
2013-08-01,11609184,8434944
2013-09-01,11594592,8438272
2013-10-01,11597664,8438272
2013-11-01,11601760,8425728
2013-12-01,11616096,8410880
2014-01-01,11618656,8408064
2014-02-01,11618400,8417024
2014-03-01,11619168,8420608
2014-04-01,11618656,8431872
2014-05-01,11634272,8435968
2014-06-01,11623776,8441600
2014-07-01,11623776,8439552
2014-08-01,11631968,8448256
2014-09-01,11637088,8443904
2014-10-01,11632224,8507392
2014-11-01,11628640,8528896
2014-12-01,11626848,8530432
2015-01-01,11625568,8560648
2015-02-01,11629920,8543752
2015-03-01,11634016,8572424
2015-04-01,11647072,8583688
2015-05-01,11663200,8647944
2015-06-01,11657056,8651272
2015-07-01,11644000,8644616
2015-08-01,11647072,8644360
2015-09-01,11631968,8647944
2015-10-01,11640160,8645128
2015-11-01,11578976,8645384
2015-12-01,11584096,8650248
2016-01-01,11529824,8656136
2016-02-01,11467360,8676360
2016-03-01,11474016,8682240
2016-04-01,11509600,8719360
2016-05-01,11513184,8721920
2016-06-01,11515232,8727296
2016-07-01,11521376,8731648
2016-08-01,11573600,8742912
2016-09-01,11580768,8719360
2016-10-01,11583840,8725504
2016-11-01,11591776,8734464
2016-12-01,11594848,8743168
2017-01-01,11595872,8750336
2017-02-01,11533408,8761856
2017-03-01,11538272,8763136
2017-04-01,11546464,8768000
2017-05-01,11552608,8768768
2017-06-01,11557728,8781312
2017-07-01,11564640,8783360
2017-08-01,11569760,8791808
2017-09-01,11582048,8774656
2017-10-01,11587168,8796416
2017-11-01,11606368,8809216
2017-12-01,11605600,8839680
2018-01-01,11613024,8849152
2018-02-01,11621216,8726784
2018-03-01,11626336,8756737
2018-04-01,11636320,8751616
2018-05-01,11643488,8759808
2018-06-01,11649888,8760064
2018-07-01,11325024,8768768
2018-08-01,11335264,8787456
2018-09-01,11338336,8757760
2018-10-01,11336288,8790016
2018-11-01,11331680,8794624
2018-12-01,11327584,8922880
2019-01-01,11330656,8918784
2019-02-01,11336800,8920064
2019-03-01,11341920,8932608
2019-04-01,11357280,8950016
2019-05-01,11374688,8954880
